iso3,m49,country_name,official_name,capital_city,latitude,longitude,un_region,un_subregion,independent,un_member,income_group,wb_region
CYM,136,Cayman Islands,Cayman Islands,George Town,19.5,-80.5,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
CYP,196,Cyprus,Republic of Cyprus,Nicosia,35,33,Europe,Southern Europe,True,True,High income,Europe & Central Asia
CZE,203,Czechia,Czech Republic,Prague,49.75,15.5,Europe,Central Europe,True,True,High income,Europe & Central Asia
DEU,276,Germany,Federal Republic of Germany,Berlin,51,9,Europe,Western Europe,True,True,High income,Europe & Central Asia
DJI,262,Djibouti,Republic of Djibouti,Djibouti,11.5,43,Africa,Eastern Africa,True,True,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
DMA,212,Dominica,Commonwealth of Dominica,Roseau,15.41666666,-61.33333333,Americas,Caribbean,True,True,Upper middle income,Latin America & Caribbean 
DNK,208,Denmark,Kingdom of Denmark,Copenhagen,56,10,Europe,Northern Europe,True,True,High income,Europe & Central Asia
DOM,214,Dominican Republic,Dominican Republic,Santo Domingo,19,-70.66666666,Americas,Caribbean,True,True,Upper middle income,Latin America & Caribbean 
DZA,012,Algeria,People's Democratic Republic of Algeria,Algiers,28,3,Africa,Northern Africa,True,True,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan"
ECU,218,Ecuador,Republic of Ecuador,Quito,-2,-77.5,Americas,South America,True,True,Upper middle income,Latin America & Caribbean 
EGY,818,Egypt,Arab Republic of Egypt,Cairo,27,30,Africa,Northern Africa,True,True,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
ERI,232,Eritrea,State of Eritrea,Asmara,15,39,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
ESH,732,Western Sahara,Sahrawi Arab Democratic Republic,El Aaiún,24.5,-13,Africa,Northern Africa,False,False,,
ESP,724,Spain,Kingdom of Spain,Madrid,40,-4,Europe,Southern Europe,True,True,High income,Europe & Central Asia
EST,233,Estonia,Republic of Estonia,Tallinn,59,26,Europe,Northern Europe,True,True,High income,Europe & Central Asia
ETH,231,Ethiopia,Federal Democratic Republic of Ethiopia,Addis Ababa,8,38,Africa,Eastern Africa,True,True,Not classified,Sub-Saharan Africa 
FIN,246,Finland,Republic of Finland,Helsinki,64,26,Europe,Northern Europe,True,True,High income,Europe & Central Asia
FJI,242,Fiji,Republic of Fiji,Suva,-18,175,Oceania,Melanesia,True,True,Upper middle income,East Asia & Pacific
FLK,238,Falkland Islands,Falkland Islands,Stanley,-51.75,-59,Americas,South America,False,False,,
FRA,250,France,French Republic,Paris,46,2,Europe,Western Europe,True,True,High income,Europe & Central Asia
FRO,234,Faroe Islands,Faroe Islands,Tórshavn,62,-7,Europe,Northern Europe,False,False,High income,Europe & Central Asia
FSM,583,Micronesia,Federated States of Micronesia,Palikir,6.91666666,158.25,Oceania,Micronesia,True,True,Lower middle income,East Asia & Pacific
GAB,266,Gabon,Gabonese Republic,Libreville,-1,11.75,Africa,Middle Africa,True,True,Upper middle income,Sub-Saharan Africa 
GBR,826,United Kingdom,United Kingdom of Great Britain and Northern Ireland,London,54,-2,Europe,Northern Europe,True,True,High income,Europe & Central Asia
GEO,268,Georgia,Georgia,Tbilisi,42,43.5,Asia,Western Asia,True,True,Upper middle income,Europe & Central Asia
GGY,831,Guernsey,Bailiwick of Guernsey,St. Peter Port,49.46666666,-2.58333333,Europe,Northern Europe,False,False,,
GHA,288,Ghana,Republic of Ghana,Accra,8,-2,Africa,Western Africa,True,True,Lower middle income,Sub-Saharan Africa 
GIB,292,Gibraltar,Gibraltar,Gibraltar,36.13333333,-5.35,Europe,Southern Europe,False,False,High income,Europe & Central Asia
GIN,324,Guinea,Republic of Guinea,Conakry,11,-10,Africa,Western Africa,True,True,Lower middle income,Sub-Saharan Africa 
GLP,312,Guadeloupe,Guadeloupe,Basse-Terre,16.25,-61.583333,Americas,Caribbean,False,False,,
GMB,270,Gambia,Republic of the Gambia,Banjul,13.46666666,-16.56666666,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
GNB,624,Guinea-Bissau,Republic of Guinea-Bissau,Bissau,12,-15,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
GNQ,226,Equatorial Guinea,Republic of Equatorial Guinea,Malabo,2,10,Africa,Middle Africa,True,True,Upper middle income,Sub-Saharan Africa 
GRC,300,Greece,Hellenic Republic,Athens,39,22,Europe,Southern Europe,True,True,High income,Europe & Central Asia
GRD,308,Grenada,Grenada,St. George's,12.11666666,-61.66666666,Americas,Caribbean,True,True,Upper middle income,Latin America & Caribbean 
GRL,304,Greenland,Greenland,Nuuk,72,-40,Americas,North America,False,False,High income,Europe & Central Asia
GTM,320,Guatemala,Republic of Guatemala,Guatemala City,15.5,-90.25,Americas,Central America,True,True,Upper middle income,Latin America & Caribbean 
GUF,254,French Guiana,Guiana,Cayenne,4,-53,Americas,South America,False,False,,
GUM,316,Guam,Guam,Hagåtña,13.46666666,144.78333333,Oceania,Micronesia,False,False,High income,East Asia & Pacific
GUY,328,Guyana,Co-operative Republic of Guyana,Georgetown,5,-59,Americas,South America,True,True,High income,Latin America & Caribbean 
HKG,344,Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,City of Victoria,22.267,114.188,Asia,Eastern Asia,False,False,High income,East Asia & Pacific
HMD,334,Heard Island and McDonald Islands,Heard Island and McDonald Islands,,-53.1,72.51666666,Antarctic,,False,False,,
HND,340,Honduras,Republic of Honduras,Tegucigalpa,15,-86.5,Americas,Central America,True,True,Lower middle income,Latin America & Caribbean 
HRV,191,Croatia,Republic of Croatia,Zagreb,45.16666666,15.5,Europe,Southeast Europe,True,True,High income,Europe & Central Asia
HTI,332,Haiti,Republic of Haiti,Port-au-Prince,19,-72.41666666,Americas,Caribbean,True,True,Lower middle income,Latin America & Caribbean 
HUN,348,Hungary,Hungary,Budapest,47,20,Europe,Central Europe,True,True,High income,Europe & Central Asia
IDN,360,Indonesia,Republic of Indonesia,Jakarta,-5,120,Asia,South-Eastern Asia,True,True,Upper middle income,East Asia & Pacific
IMN,833,Isle of Man,Isle of Man,Douglas,54.25,-4.5,Europe,Northern Europe,False,False,High income,Europe & Central Asia
IND,356,India,Republic of India,New Delhi,20,77,Asia,Southern Asia,True,True,Lower middle income,South Asia
IOT,086,British Indian Ocean Territory,British Indian Ocean Territory,Diego Garcia,-6,71.5,Africa,Eastern Africa,False,False,,
IRL,372,Ireland,Republic of Ireland,Dublin,53,-8,Europe,Northern Europe,True,True,High income,Europe & Central Asia
IRN,364,Iran,Islamic Republic of Iran,Tehran,32,53,Asia,Southern Asia,True,True,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan"
IRQ,368,Iraq,Republic of Iraq,Baghdad,33,44,Asia,Western Asia,True,True,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan"
ISL,352,Iceland,Iceland,Reykjavik,65,-18,Europe,Northern Europe,True,True,High income,Europe & Central Asia
ISR,376,Israel,State of Israel,Jerusalem,31.47,35.13,Asia,Western Asia,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
ITA,380,Italy,Italian Republic,Rome,42.83333333,12.83333333,Europe,Southern Europe,True,True,High income,Europe & Central Asia
JAM,388,Jamaica,Jamaica,Kingston,18.25,-77.5,Americas,Caribbean,True,True,Upper middle income,Latin America & Caribbean 
JEY,832,Jersey,Bailiwick of Jersey,Saint Helier,49.25,-2.16666666,Europe,Northern Europe,False,False,,
JOR,400,Jordan,Hashemite Kingdom of Jordan,Amman,31,36,Asia,Western Asia,True,True,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
JPN,392,Japan,Japan,Tokyo,36,138,Asia,Eastern Asia,True,True,High income,East Asia & Pacific
KAZ,398,Kazakhstan,Republic of Kazakhstan,Astana,48,68,Asia,Central Asia,True,True,Upper middle income,Europe & Central Asia
KEN,404,Kenya,Republic of Kenya,Nairobi,1,38,Africa,Eastern Africa,True,True,Lower middle income,Sub-Saharan Africa 
KGZ,417,Kyrgyzstan,Kyrgyz Republic,Bishkek,41,75,Asia,Central Asia,True,True,Lower middle income,Europe & Central Asia
KHM,116,Cambodia,Kingdom of Cambodia,Phnom Penh,13,105,Asia,South-Eastern Asia,True,True,Lower middle income,East Asia & Pacific
KIR,296,Kiribati,Independent and Sovereign Republic of Kiribati,South Tarawa,1.41666666,173,Oceania,Micronesia,True,True,Lower middle income,East Asia & Pacific
KNA,659,Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,Basseterre,17.33333333,-62.75,Americas,Caribbean,True,True,High income,Latin America & Caribbean 
KOR,410,South Korea,Republic of Korea,Seoul,37,127.5,Asia,Eastern Asia,True,True,High income,East Asia & Pacific
KWT,414,Kuwait,State of Kuwait,Kuwait City,29.5,45.75,Asia,Western Asia,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
LAO,418,Laos,Lao People's Democratic Republic,Vientiane,18,105,Asia,South-Eastern Asia,True,True,Lower middle income,East Asia & Pacific
LBN,422,Lebanon,Lebanese Republic,Beirut,33.83333333,35.83333333,Asia,Western Asia,True,True,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
LBR,430,Liberia,Republic of Liberia,Monrovia,6.5,-9.5,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
LBY,434,Libya,State of Libya,Tripoli,25,17,Africa,Northern Africa,True,True,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan"
LCA,662,Saint Lucia,Saint Lucia,Castries,13.88333333,-60.96666666,Americas,Caribbean,True,True,Upper middle income,Latin America & Caribbean 
LIE,438,Liechtenstein,Principality of Liechtenstein,Vaduz,47.26666666,9.53333333,Europe,Western Europe,True,True,High income,Europe & Central Asia
LKA,144,Sri Lanka,Democratic Socialist Republic of Sri Lanka,Colombo,7,81,Asia,Southern Asia,True,True,Lower middle income,South Asia
LSO,426,Lesotho,Kingdom of Lesotho,Maseru,-29.5,28.5,Africa,Southern Africa,True,True,Lower middle income,Sub-Saharan Africa 
LTU,440,Lithuania,Republic of Lithuania,Vilnius,56,24,Europe,Northern Europe,True,True,High income,Europe & Central Asia
LUX,442,Luxembourg,Grand Duchy of Luxembourg,Luxembourg,49.75,6.16666666,Europe,Western Europe,True,True,High income,Europe & Central Asia
LVA,428,Latvia,Republic of Latvia,Riga,57,25,Europe,Northern Europe,True,True,High income,Europe & Central Asia
MAC,446,Macau,Macao Special Administrative Region of the People's Republic of China,,22.16666666,113.55,Asia,Eastern Asia,False,False,High income,East Asia & Pacific
MAF,663,Saint Martin,Saint Martin,Marigot,18.08333333,-63.95,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
MAR,504,Morocco,Kingdom of Morocco,Rabat,32,-5,Africa,Northern Africa,True,True,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
MCO,492,Monaco,Principality of Monaco,Monaco,43.73333333,7.4,Europe,Western Europe,True,True,High income,Europe & Central Asia
MDA,498,Moldova,Republic of Moldova,Chișinău,47,29,Europe,Eastern Europe,True,True,Upper middle income,Europe & Central Asia
MDG,450,Madagascar,Republic of Madagascar,Antananarivo,-20,47,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
MDV,462,Maldives,Republic of the Maldives,Malé,3.25,73,Asia,Southern Asia,True,True,Upper middle income,South Asia
MEX,484,Mexico,United Mexican States,Mexico City,23,-102,Americas,North America,True,True,Upper middle income,Latin America & Caribbean 
MHL,584,Marshall Islands,Republic of the Marshall Islands,Majuro,9,168,Oceania,Micronesia,True,True,Upper middle income,East Asia & Pacific
MKD,807,North Macedonia,Republic of North Macedonia,Skopje,41.83333333,22,Europe,Southeast Europe,True,True,Upper middle income,Europe & Central Asia
MLI,466,Mali,Republic of Mali,Bamako,17,-4,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
