iso3,m49,country_name,official_name,capital_city,latitude,longitude,un_region,un_subregion,independent,un_member,income_group,wb_region
TCA,796,Turks and Caicos Islands,Turks and Caicos Islands,Cockburn Town,21.75,-71.58333333,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
TCD,148,Chad,Republic of Chad,N'Djamena,15,19,Africa,Middle Africa,True,True,Low income,Sub-Saharan Africa 
TGO,768,Togo,Togolese Republic,Lomé,8,1.16666666,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
THA,764,Thailand,Kingdom of Thailand,Bangkok,15,100,Asia,South-Eastern Asia,True,True,Upper middle income,East Asia & Pacific
TJK,762,Tajikistan,Republic of Tajikistan,Dushanbe,39,71,Asia,Central Asia,True,True,Lower middle income,Europe & Central Asia
TKL,772,Tokelau,Tokelau,Fakaofo,-9,-172,Oceania,Polynesia,False,False,,
TKM,795,Turkmenistan,Turkmenistan,Ashgabat,40,60,Asia,Central Asia,True,True,Upper middle income,Europe & Central Asia
TLS,626,Timor-Leste,Democratic Republic of Timor-Leste,Dili,-8.83333333,125.91666666,Asia,South-Eastern Asia,True,True,Lower middle income,East Asia & Pacific
TON,776,Tonga,Kingdom of Tonga,Nuku'alofa,-20,-175,Oceania,Polynesia,True,True,Upper middle income,East Asia & Pacific
TTO,780,Trinidad and Tobago,Republic of Trinidad and Tobago,Port of Spain,11,-61,Americas,Caribbean,True,True,High income,Latin America & Caribbean 
TUN,788,Tunisia,Tunisian Republic,Tunis,34,9,Africa,Northern Africa,True,True,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
TUR,792,Türkiye,Republic of Türkiye,Ankara,39,35,Asia,Western Asia,True,True,Upper middle income,Europe & Central Asia
TUV,798,Tuvalu,Tuvalu,Funafuti,-8,178,Oceania,Polynesia,True,True,Upper middle income,East Asia & Pacific
TWN,158,Taiwan,Republic of China (Taiwan),Taipei,23.5,121,Asia,Eastern Asia,False,False,,
TZA,834,Tanzania,United Republic of Tanzania,Dodoma,-6,35,Africa,Eastern Africa,True,True,Lower middle income,Sub-Saharan Africa 
UGA,800,Uganda,Republic of Uganda,Kampala,1,32,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
UKR,804,Ukraine,Ukraine,Kyiv,49,32,Europe,Eastern Europe,True,True,Upper middle income,Europe & Central Asia
UMI,581,United States Minor Outlying Islands,United States Minor Outlying Islands,,19.3,166.633333,Americas,North America,False,False,,
URY,858,Uruguay,Oriental Republic of Uruguay,Montevideo,-33,-56,Americas,South America,True,True,High income,Latin America & Caribbean 
USA,840,United States,United States of America,Washington D.C.,38,-97,Americas,North America,True,True,High income,North America
UZB,860,Uzbekistan,Republic of Uzbekistan,Tashkent,41,64,Asia,Central Asia,True,True,Lower middle income,Europe & Central Asia
VAT,336,Vatican City,Vatican City State,Vatican City,41.9,12.45,Europe,Southern Europe,True,True,,
VCT,670,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Kingstown,13.25,-61.2,Americas,Caribbean,True,True,Upper middle income,Latin America & Caribbean 
VEN,862,Venezuela,Bolivarian Republic of Venezuela,Caracas,8,-66,Americas,South America,True,True,Not classified,Latin America & Caribbean 
VGB,092,British Virgin Islands,Virgin Islands,Road Town,18.431383,-64.62305,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
VIR,850,United States Virgin Islands,Virgin Islands of the United States,Charlotte Amalie,18.35,-64.933333,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
VNM,704,Vietnam,Socialist Republic of Vietnam,Hanoi,16.16666666,107.83333333,Asia,South-Eastern Asia,True,True,Lower middle income,East Asia & Pacific
VUT,548,Vanuatu,Republic of Vanuatu,Port Vila,-16,167,Oceania,Melanesia,True,True,Lower middle income,East Asia & Pacific
WLF,876,Wallis and Futuna,Territory of the Wallis and Futuna Islands,Mata-Utu,-13.3,-176.2,Oceania,Polynesia,False,False,,
WSM,882,Samoa,Independent State of Samoa,Apia,-13.58333333,-172.33333333,Oceania,Polynesia,True,True,Upper middle income,East Asia & Pacific
YEM,887,Yemen,Republic of Yemen,Sana'a,15,48,Asia,Western Asia,True,True,Low income,"Middle East, North Africa, Afghanistan & Pakistan"
ZAF,710,South Africa,Republic of South Africa,Pretoria,-29,24,Africa,Southern Africa,True,True,Upper middle income,Sub-Saharan Africa 
ZMB,894,Zambia,Republic of Zambia,Lusaka,-15,30,Africa,Eastern Africa,True,True,Lower middle income,Sub-Saharan Africa 
ZWE,716,Zimbabwe,Republic of Zimbabwe,Harare,-20,30,Africa,Eastern Africa,True,True,Lower middle income,Sub-Saharan Africa 
